f1_makespan,f2_cost,f3_energy
15055.415041836097,110926.52135330503,172150.63084615377
15142.762244101044,110446.62688853491,170846.79276923087
18542.434303150618,109053.51004057591,166663.10607692308
14975.645072494068,112552.38701797226,176256.1996153848
18572.65684085454,109026.12169753935,166522.31261538452
15998.424912039443,109953.23935392698,169564.3036153849
17819.887930104356,108831.7553964317,166840.75592307677
16308.879111030637,109096.05455710183,167686.18846153838
15342.598295657026,110106.28296146008,170262.90646153828
17689.20558645879,109100.19800125767,167589.88776923064
18028.172985110436,109196.42147611607,166760.927076923
17946.136407882175,108586.86605068835,167276.42884615375
18611.646774500732,108361.1664023444,165478.884923077
