generation,hypervolume
0,1.2347639239264075E12
1,1.340829495165482E12
2,1.340829495165482E12
3,1.340829495165482E12
4,1.340829495165482E12
5,1.340829495165482E12
6,1.340829495165482E12
7,1.340829495165482E12
8,1.340829495165482E12
9,1.340829495165482E12
10,1.3410137646442383E12
11,1.3758659816208027E12
12,1.3758659816208027E12
13,1.3758659816208027E12
14,1.3758659816208027E12
15,1.3758659816208027E12
16,1.3758659816208027E12
17,1.3758659816208027E12
18,1.3758659816208027E12
19,1.3763284025203271E12
20,1.3763284025203271E12
21,1.3819982471761309E12
22,1.3819982471761309E12
23,1.3819982471761309E12
24,1.3823513769777842E12
25,1.3823513769777842E12
26,1.3823513769777842E12
27,1.3823513769777842E12
28,1.3823513769777842E12
29,1.3823513769777842E12
30,1.3823513769777842E12
31,1.3825573740381821E12
32,1.3825573740381821E12
33,1.3825573740381821E12
34,1.4002838781568013E12
35,1.410872933522601E12
36,1.4148709811593926E12
37,1.433905486529001E12
38,1.4351046512157324E12
39,1.4351046512157324E12
40,1.4351046512157324E12
41,1.4351046512157324E12
42,1.4351046512157324E12
43,1.4351046512157324E12
44,1.4351046512157324E12
45,1.4351046512157324E12
46,1.4351046512157324E12
47,1.4453012380490588E12
48,1.4456878323206787E12
49,1.448707712011836E12
50,1.448707712011836E12
51,1.448707712011836E12
52,1.448707712011836E12
53,1.448707712011836E12
54,1.449926726882355E12
55,1.449926726882355E12
56,1.451008242258726E12
57,1.4573444835483452E12
58,1.4579122537908716E12
59,1.4579547879407861E12
