f1_makespan,f2_cost,f3_energy
17563.927484450673,106196.30394834728,161699.9519999999
15886.249047077275,109493.36768115709,169009.77761538458
19136.0,103708.8424600706,157586.78099999976
16295.42162687129,108616.2588869772,166331.34807692305
20526.195417100753,102368.66448744654,154338.76984615385
20204.52170109795,103456.79000781823,156639.55523076898
19903.38461538462,103815.1260334187,157542.8665384615
28386.692307692334,94871.72472525862,140553.64246153826
19013.999999999993,105302.18222473808,161076.76961538475
18710.999999999993,105527.91243827045,161501.2156153847
32760.38461538462,94121.33532647342,139202.2908461537
26483.949431580168,96573.36706724351,143326.33915384597
28359.413069107977,95787.35772028046,142275.44953846134
25346.10148382455,96897.00469095343,144486.21069230748
24423.83902829336,97082.30498646888,144459.14815384606
16887.47505665027,107594.09143562356,165732.52338461528
26803.892491733026,95994.81585273579,142756.3218461537
16917.044788795065,107000.22456341665,164489.3771538461
27757.046337886863,95908.49789207861,142336.93246153838
16754.069797524127,107910.39559516025,165776.01115384622
18373.983667439607,105839.73538071263,161746.7720769228
23882.8024733975,97459.84184663121,144523.23207692325
23227.385708029877,97594.4871913222,144916.89761538483
21310.72055233528,101886.27756698024,154138.37953846145
23139.538094779025,97979.80822200279,145165.32300000015
16671.161470526604,108303.5073176072,166965.3163846155
22616.053178331385,99228.69076509806,147832.7716153846
18165.476442661333,105932.9499280878,162302.0868461537
18392.252070546936,105540.25327783957,160558.1815384618
21368.40917613223,101769.94128503019,153380.5926923076
21383.985155136263,101046.22973923146,151872.13892307677
25261.552086415824,96953.41980027784,143805.362076923
24882.859778723512,96961.56864951791,143756.69169230765
17554.71746753934,106173.56923471403,162651.38076923083
26279.31531970583,96686.6680073228,143174.7316153845
24469.069156904425,97119.4583630831,144096.42876923076
24680.45377228904,97039.95731918652,143966.32223076912
22292.647024088346,100376.82634226793,149752.07284615343
17277.52401896394,106411.1383666448,162816.2146153846
24183.630542566796,97166.9720622762,144046.47207692298
22248.339331780655,100498.89312705591,149754.2289230766
22728.354999016025,98230.46560743959,144890.59546153827
