generation,hypervolume
0,1.5549026462103423E12
1,1.8113463052610112E12
2,1.842062547693E12
3,2.0786142485523926E12
4,2.115402643379724E12
5,2.115402643379724E12
6,2.1493612775157646E12
7,2.1493612775157646E12
8,2.1493612775157646E12
9,2.1493612775157646E12
10,2.1609387164354502E12
11,2.1609387164354502E12
12,2.162251710781832E12
13,2.162251710781832E12
14,2.162251710781832E12
15,2.162251710781832E12
16,2.162251710781832E12
17,2.162251710781832E12
18,2.162251710781832E12
19,2.162251710781832E12
20,2.162251710781832E12
21,2.164330750903504E12
22,2.164330750903504E12
23,2.164330750903504E12
24,2.1715436338682598E12
25,2.1715436338682598E12
26,2.1819872346641753E12
27,2.1819872346641753E12
28,2.1819872346641753E12
29,2.1838718241373457E12
30,2.1838718241373457E12
31,2.1838718241373457E12
32,2.1838718241373457E12
33,2.1838718241373457E12
34,2.1838718241373457E12
35,2.1838718241373457E12
36,2.2877390784878975E12
37,2.2877390784878975E12
38,2.2877390784878975E12
39,2.2877390784878975E12
40,2.2877390784878975E12
41,2.288864934242168E12
42,2.288864934242168E12
43,2.288864934242168E12
44,2.288864934242168E12
45,2.288864934242168E12
46,2.288864934242168E12
47,2.288864934242168E12
48,2.288864934242168E12
49,2.288864934242168E12
50,2.288864934242168E12
51,2.288864934242168E12
52,2.288864934242168E12
53,2.288864934242168E12
54,2.288864934242168E12
55,2.288864934242168E12
56,2.288864934242168E12
57,2.288864934242168E12
58,2.288864934242168E12
59,2.288864934242168E12
