f1_makespan,f2_cost,f3_energy
18389.415632931672,110332.77361348404,169464.63461538442
18603.731294837744,109383.28767407789,166782.52038461497
17900.687809097064,110472.72071817123,169681.99246153858
16349.648011481651,111536.44154663198,172677.06507692355
16932.053928924073,110449.90781001675,171046.7875384617
16519.04264816443,111450.71978246603,172527.82246153848
16629.56129790562,111263.29101946433,171671.9593846155
16760.498094072944,110537.07942460169,171015.85846153848
16035.162699276047,111642.05586255887,173195.73092307692
18389.943940971,109923.22094515616,168868.1086153844
19791.42781864366,109227.50190520482,167526.009230769
