f1_makespan,f2_cost,f3_energy
20031.6040480964,108903.22008018178,165855.71492307677
20476.39963878901,108330.59937519576,165159.65999999992
15623.420119259355,109760.65564097586,169167.138
16445.065854775505,109538.76266803833,168366.31269230723
15311.004005001603,110685.22471148924,171258.62423076938
17360.729596081816,108860.98711839781,166473.65815384622
19206.605946745254,108647.7209725732,165971.3951538463
18729.01543947085,108679.61446412944,166514.64161538452
14869.870684280315,111675.67721650071,174348.4756153844
17702.33211556688,108821.05261984469,166975.94261538438
15419.212960865058,109814.53371656364,170064.43938461549
14600.800000000001,112603.15968092837,175447.2246923076
18606.90745577989,108937.87903110406,166403.86938461536
15135.012757460381,110971.40651520489,172609.7178461538
16794.706996478424,108605.16437260619,167011.3603846152
17203.902679505856,109095.96326193324,167006.84469230758
16322.116598211935,109570.67812054176,168258.84046153835
18354.206086613103,109200.04600535016,166402.85769230765
