f1_makespan,f2_cost,f3_energy
15801.553368974815,112315.1139867994,174369.46638461543
15897.531327422756,109519.81625882133,168584.5419230766
17018.902373436922,107290.02877979043,164039.90376923088
16737.82697399473,107566.57286854427,164596.31607692246
16725.685074134013,107591.0510595155,164488.71230769192
16694.04247059764,108712.05550686961,167117.34623076924
17489.349469566907,107261.88584147584,164039.8495384613
20272.671604206163,103671.82854620954,157064.886923077
16491.392279185442,109306.54774433107,167926.63569230758
32255.196316751477,95263.41982380618,141643.01146153844
30016.042470597633,96447.09009172682,143787.54392307694
26652.516351649483,97145.41574464296,145049.18607692295
18989.23076923077,104517.65194781768,158740.29669230772
28284.082688665378,96384.78263585833,143807.8476923076
27793.236534819225,96587.29816429754,144067.13215384603
26600.07692307694,97135.58834777169,145461.0223846153
25753.544227126913,97639.76612292822,146429.8707692307
30353.5121616289,96235.82022248191,143378.5456153847
30225.544227126924,96148.84661486039,144314.49692307698
30717.006732827693,96141.21604630732,144246.22984615367
31413.57034694321,96008.62189160523,143247.51876923052
21193.892132683985,103459.254946825,156812.68869230774
27371.04177625822,97119.30808056846,144878.30423076914
29400.255097646037,96603.06871894703,143676.35723076906
17889.00503984357,105528.07481980704,160216.42846153828
18117.76923076923,105474.1556166641,160347.07199999978
23260.234350622726,97916.25306581374,145704.04453846155
21741.862111549213,102994.88639177379,155989.73769230754
20053.04861029706,104110.58710717593,157975.11069230785
18183.2416338164,105381.65404761277,160481.84192307672
21255.822934860567,103322.65076650286,157239.58776923048
17493.688485479186,107035.27065959515,164234.9706923076
21908.774270612805,99841.6027370689,149837.69676923042
23086.38461538462,98358.46050301191,147035.04138461515
18621.769217183886,105209.6879727942,160206.53515384602
24108.908358192122,98027.02196858155,145489.8205384613
23249.916260960134,98203.73390121263,146607.30138461525
19876.700000000004,104451.61463403358,159079.65738461557
18693.379023699217,104588.6853385001,158861.57353846138
17589.091266046325,106542.95352476591,162813.06576923083
22523.33157469907,98691.269758362,146904.18046153823
19379.27712017132,104457.19254655865,158767.03984615367
23209.29297357673,98341.94407031815,146129.75261538432
17867.1814859379,106396.72330766065,162219.3749999999
22719.01363084417,98627.84707877184,146822.57561538432
22941.544483318576,98580.62055351982,146773.0885384613
