generation,hypervolume
0,1.1313421390842598E12
1,1.1609574308220444E12
2,1.213912980065482E12
3,1.26732742986559E12
4,1.26732742986559E12
5,1.26732742986559E12
6,1.26732742986559E12
7,1.26732742986559E12
8,1.26732742986559E12
9,1.26732742986559E12
10,1.26732742986559E12
11,1.26732742986559E12
12,1.26732742986559E12
13,1.26732742986559E12
14,1.26732742986559E12
15,1.26732742986559E12
16,1.26732742986559E12
17,1.26732742986559E12
18,1.26732742986559E12
19,1.26732742986559E12
20,1.2715999957560386E12
21,1.2715999957560386E12
22,1.2715999957560386E12
23,1.2715999957560386E12
24,1.2715999957560386E12
25,1.2715999957560386E12
26,1.2715999957560386E12
27,1.2715999957560386E12
28,1.2715999957560386E12
29,1.2715999957560386E12
30,1.2715999957560386E12
31,1.2724280447304734E12
32,1.2724280447304734E12
33,1.2724280447304734E12
34,1.2724280447304734E12
35,1.2724280447304734E12
36,1.2724280447304734E12
37,1.2724280447304734E12
38,1.2724280447304734E12
39,1.2724280447304734E12
40,1.2724280447304734E12
41,1.2724280447304734E12
42,1.2724280447304734E12
43,1.2724280447304734E12
44,1.2724280447304734E12
45,1.2724280447304734E12
46,1.2724280447304734E12
47,1.4037368322533066E12
48,1.4039559746209585E12
49,1.4047242478982524E12
50,1.41076485705437E12
51,1.41076485705437E12
52,1.4112671296661135E12
53,1.4249851797568977E12
54,1.4371841979488376E12
55,1.4371841979488376E12
56,1.4371841979488376E12
57,1.4371841979488376E12
58,1.4371841979488376E12
59,1.4371841979488376E12
