generation,hypervolume
0,1.417239714963534E12
1,1.7858314875884697E12
2,1.871126505332731E12
3,1.8831574463116904E12
4,1.8877944979816367E12
5,2.0521657991860332E12
6,2.0521657991860332E12
7,2.2973589038630063E12
8,2.2973589038630063E12
9,2.2973589038630063E12
10,2.2973589038630063E12
11,2.2973589038630063E12
12,2.2973589038630063E12
13,2.2973589038630063E12
14,2.2973589038630063E12
15,2.297624598746521E12
16,2.297624598746521E12
17,2.297624598746521E12
18,2.297624598746521E12
19,2.297624598746521E12
20,2.3146700547212725E12
21,2.3146700547212725E12
22,2.3146700547212725E12
23,2.3146700547212725E12
24,2.3146700547212725E12
25,2.3146700547212725E12
26,2.3146700547212725E12
27,2.3146700547212725E12
28,2.3146700547212725E12
29,2.3146700547212725E12
30,2.3688711857148145E12
31,2.3688711857148145E12
32,2.3688711857148145E12
33,2.3688711857148145E12
34,2.3688711857148145E12
35,2.3688711857148145E12
36,2.373352743013055E12
37,2.373352743013055E12
38,2.373352743013055E12
39,2.373352743013055E12
40,2.377218453180957E12
41,2.377218453180957E12
42,2.377218453180957E12
43,2.377218453180957E12
44,2.377218453180957E12
45,2.377218453180957E12
46,2.377218453180957E12
47,2.377218453180957E12
48,2.377218453180957E12
49,2.377218453180957E12
50,2.377218453180957E12
51,2.377218453180957E12
52,2.377218453180957E12
53,2.377218453180957E12
54,2.377218453180957E12
55,2.377218453180957E12
56,2.377218453180957E12
57,2.377218453180957E12
58,2.377218453180957E12
59,2.377218453180957E12
