f1_makespan,f2_cost,f3_energy
18389.984199489307,110333.06139762164,169464.63461538442
18603.731294837744,109383.65058794402,166782.52038461497
17935.244265486424,110473.18001896696,169681.99246153858
16350.397794210226,111536.75417045972,172677.06507692355
16932.96779130296,110450.2522097636,171046.7875384617
16519.178844395097,111451.1999421389,172527.82246153848
16661.858084354775,111263.67214195074,171671.9593846155
16764.002769034898,110537.49632698424,171015.85846153848
16036.350811846623,111642.45786098161,173195.73092307692
18423.1910416887,109923.78533033887,168868.1086153844
19791.998344086976,109227.60947337818,167526.009230769
