f1_makespan,f2_cost,f3_energy
15091.614371660447,110423.13335044713,171172.64376923084
15625.44752661665,110024.17457545309,170064.60830769213
17858.63948321211,108553.18240675911,166820.89223076895
14849.320429475574,111608.04994944212,173880.2333076921
17625.432647812017,108605.92198526354,166480.58100000003
15289.481476940948,110230.09241782298,171122.0127692306
16989.512269600575,109030.64351410531,166924.299
16006.1761757767,109292.97440623005,168593.7969230769
15992.839596661028,109814.82263162761,169548.4816153844
17201.44209758678,108588.80905204112,166645.0947692305
18068.63788604731,107722.77173013947,164585.68638461526
16493.650720395828,109386.7543844961,168325.65715384623
