f1_makespan,f2_cost,f3_energy
16957.94045364381,107861.94980573234,164905.34030769204
15861.251514970081,109760.18732913444,169035.91730769209
18015.31272723556,105660.1454184635,160691.08707692323
17527.799999999992,107183.03959312187,163452.51184615356
18305.424552965163,104758.4690429433,158892.94384615394
17865.964090142486,105760.83936358301,161441.5823076922
17599.786712085344,106334.4430015158,163305.39369230764
29082.538461538465,95647.06890328012,141526.81799999994
31373.070564416597,94755.70055764835,140080.72130769226
23702.17646678399,97656.29207429617,146071.94353846135
30104.177317064987,94993.71881981118,140583.3985384615
24879.965639270216,96779.08750088907,144782.06723076905
29290.254240141898,95461.83549313307,141579.18207692297
28537.715778603444,95498.52331883473,141654.79753846148
25970.741629526154,96340.29986909972,144194.21538461527
17385.897933530454,107392.27246162453,164344.34330769235
15059.791691617495,110608.0229664805,171037.03176923087
27048.638855526526,96423.44290434645,143344.26046153842
27701.43371683396,96085.49807661853,142584.80538461526
21619.561537087506,100104.56057480453,150820.97030769213
20839.291516013272,102938.54237234445,156118.5572307692
19745.65302159444,103609.08176329437,157177.08184615374
20564.40293148945,102817.74652854078,156663.7645384614
19341.44319959489,104141.63034391752,158071.92830769232
22567.48368328073,99679.25725521165,149024.63907692276
18875.81045949574,104206.63244567835,158395.08876923073
23036.343203187196,99315.78958482541,148597.20507692255
24590.307692307695,97264.8401206703,145181.06146153834
23397.175326988377,98605.36019422644,147875.81261538446
23548.306906919428,98296.33617575721,146729.65892307693
23135.46153846155,98762.51338213173,148085.42515384615
16772.196273639063,107755.92536453028,165294.65469230758
22976.099689863386,99530.99759599916,148598.02638461516
16017.798460652502,107867.2846824589,165573.866307692
23477.946025574714,98561.33911675756,147698.43646153843
22387.033549113035,100274.11299754775,150207.62238461518
24879.919285967004,97705.89313388254,144854.65107692315
22243.066594359818,100526.73887823395,150251.71130769243
24412.096756030678,98051.18326790909,145227.34338461544
