generation,hypervolume
0,4.2058049334720557E11
1,9.203243979128892E11
2,9.304725456025271E11
3,9.527320256323447E11
4,9.659457580022393E11
5,9.687379383079503E11
6,9.997244557411088E11
7,1.0015908512389058E12
8,1.0070969069223701E12
9,1.0074595324631764E12
10,1.0110537468782899E12
11,1.0401456689401136E12
12,1.0401456689401136E12
13,1.0738119041314783E12
14,1.0738119041314783E12
15,1.0738119041314783E12
16,1.0744246360247281E12
17,1.0747844416205367E12
18,1.0800156572124945E12
19,1.0800156572124945E12
20,1.0800156572124945E12
21,1.0800156572124945E12
22,1.0800156572124945E12
23,1.0913787928682538E12
24,1.0913787928682538E12
25,1.213307163762756E12
26,1.213307163762756E12
27,1.213307163762756E12
28,1.2133668233008135E12
29,1.2133668233008135E12
30,1.2133668233008135E12
31,1.2133668233008135E12
32,1.2133668233008135E12
33,1.2133668233008135E12
34,1.2133668233008135E12
35,1.2133668233008135E12
36,1.2133668233008135E12
37,1.2133668233008135E12
38,1.2133668233008135E12
39,1.2152648242941023E12
40,1.2152648242941023E12
41,1.2152648242941023E12
42,1.2177781165023262E12
43,1.2177781165023262E12
44,1.219421097607121E12
45,1.219421097607121E12
46,1.219421097607121E12
47,1.219421097607121E12
48,1.2230651815840305E12
49,1.2230651815840305E12
50,1.2230651815840305E12
51,1.2230651815840305E12
52,1.2406779228708806E12
53,1.2406779228708806E12
54,1.2406779228708806E12
55,1.2406779228708806E12
56,1.2406779228708806E12
57,1.2406779228708806E12
58,1.259871657502564E12
59,1.2724334412186812E12
