generation,hypervolume
0,1.5390213035245498E12
1,1.762561992261149E12
2,1.7769188628893145E12
3,1.7801110863938076E12
4,1.7801110863938076E12
5,1.7915269064802922E12
6,1.7979183351647466E12
7,1.80452686032319E12
8,1.80452686032319E12
9,1.805985878717811E12
10,1.805985878717811E12
11,1.805985878717811E12
12,1.805985878717811E12
13,1.805985878717811E12
14,1.805985878717811E12
15,1.805985878717811E12
16,1.805985878717811E12
17,1.805985878717811E12
18,1.805985878717811E12
19,1.8091839814957854E12
20,1.8091839814957854E12
21,1.8152122757105535E12
22,1.8152122757105535E12
23,1.8152122757105535E12
24,1.8152122757105535E12
25,1.8152122757105535E12
26,1.8152122757105535E12
27,1.8152122757105535E12
28,1.82979571909867E12
29,1.82979571909867E12
30,1.82979571909867E12
31,1.82979571909867E12
32,1.8307264429596123E12
33,1.8307264429596123E12
34,1.8307264429596123E12
35,1.8484832223937627E12
36,1.8517991983966008E12
37,1.8517991983966008E12
38,1.854425545401637E12
39,1.854425545401637E12
40,1.854425545401637E12
41,1.854425545401637E12
42,1.8668626539173076E12
43,1.874889399882856E12
44,1.874889399882856E12
45,1.8762193942727505E12
46,1.8838042184145378E12
47,1.9146768647138442E12
48,1.9152708867310278E12
49,1.9183502112122153E12
50,1.9183502112122153E12
51,1.9208570823646123E12
52,1.9208570823646123E12
53,1.9208570823646123E12
54,1.9208570823646123E12
55,1.9208570823646123E12
56,1.9208570823646123E12
57,1.9208570823646123E12
58,1.9608429647543916E12
59,1.9656334328329644E12
