f1_makespan,f2_cost,f3_energy
18423.64492175062,110336.51195520733,169464.63461538442
18606.718811107105,109387.494296565,166782.52038461497
16816.017397838477,110610.16395994725,171176.3143846154
18272.414570970315,110478.13619289346,169681.99246153858
18203.698619150375,110716.95796728374,170427.98492307652
16350.898141245865,111540.21165876779,172677.06507692355
16968.393683018145,110454.15015116236,171046.7875384617
16519.14266196501,111456.38250830997,172527.82246153848
16841.954451631853,110542.10056890869,171015.85846153848
16071.241783065674,111646.77628224116,173195.73092307692
19825.88141222089,109229.39200275343,167526.009230769
